 1.        ,  0.09523532,  0.22994307,  0.49979507,  0.04780506,  0.65208149,  0.19981099,  0.40638239, -0.15224709, -0.00368363,  0.10658317,  0.01417745,
 0.09523532,  1.        ,  0.69381803,  0.22843781, -0.22216044,  0.11243836,  0.58308629,  0.13638021, -0.11914161,  0.01101312,  0.24324247,  0.05824407,
 0.22994307,  0.69381803,  1.        ,  0.0833622 , -0.25586458,  0.16654866,  0.36268809,  0.0624789 , -0.24905707, -0.03832035,  0.21581057, -0.02396164,  
 0.49979507,  0.22843781,  0.0833622 ,  1.        ,  0.1506347 ,  0.56770549, -0.07054679,  0.82363734, -0.11411705,  0.0433826 ,  0.33049906, -0.01819304,
 0.04780506, -0.22216044, -0.25586458,  0.1506347 ,  1.        ,  0.11685895, -0.11871273,  0.13113622,  0.10143801, -0.03519639, -0.08457468, -0.12512834,
 0.65208149,  0.11243836,  0.16654866,  0.56770549,  0.11685895,  1.        ,  0.09134085,  0.57140302, -0.09995014, -0.02769821,  0.01101521,  0.00118878,
 0.19981099,  0.58308629,  0.36268809, -0.07054679, -0.11871273,  0.09134085,  1.        ,  0.00159108,  0.01649715,  0.02976572,  0.01999311,  0.10564194,
 0.40638239,  0.13638021,  0.0624789 ,  0.82363734,  0.13113622,  0.57140302,  0.00159108,  1.        , -0.11269595,  0.01055975,  0.19184169,  0.04700003,
-0.15224709, -0.11914161, -0.24905707, -0.11411705,  0.10143801, -0.09995014,  0.01649715, -0.11269595,  1.        , -0.04585743, -0.0762769 ,  0.02648019,
-0.00368363,  0.01101312, -0.03832035,  0.0433826 , -0.03519639, -0.02769821,  0.02976572,  0.01055975, -0.04585743,  1.        ,  0.10370397, -0.02328983,
 0.10658317,  0.24324247,  0.21581057,  0.33049906, -0.08457468,  0.01101521,  0.01999311,  0.19184169, -0.0762769 ,  0.10370397,  1.        , -0.01553557,
 0.01417745,  0.05824407, -0.02396164, -0.01819304, -0.12512834,  0.00118878,  0.10564194,  0.04700003,  0.02648019, -0.02328983, -0.01553557,  1.        ])
